index,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,maxAge,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn
EMN,,1.947,,0.08181,8.508,0.16781986,,10.52,,134440000,-,,,45.522,2570711,0.0191,,1640908800,0.86032,857000000,6.25,0.76,0.18703341,2.6565177,0.00455,1703980800,,1640908800,1.94,2021-12-15,128317590,1.55854,20392970240,2,,2011-10-04,2:1,,2021-12-14,,10.812,,1642118400,0.83,,11.495247,1,,0.0216,3171510,,,
ETN,,3.709,,0.10596,21.785,0.33336127,,7.42,,398600000,-,,,40.068,2898059,0.0073,,1609372800,0.82853997,2068000000,5.153,0.76,0.18703341,4.0236597,0.00198,1672444800,,1632960000,1.76,2021-12-15,396874062,1.193613,72391852032,2,,2011-03-01,2:1,,2021-11-10,,0.41,,1642118400,1.14,,21.727762,1,,0.0073,2320037,,,
EBAY,,2.774,,1.07049,9.309,0.04203999,,4.51,,626003968,-,,,17.291,23726377,0.0379,,1609372800,0.9142,1972000000,18.281,0.18,0.18703341,3.3688045,0.03968,1672444800,,1632960000,3.34,2021-12-15,600769569,1.118094,32350046208,2,,2015-07-20,2376:1000,,2021-11-30,,-0.602,,1642118400,1.14,,12.915742,1,,0.038,27994808,,,
ECL,,4.805,,0.09082,22.081,-0.08283484,,5.55,,286567008,-,,,24.195,2534609,0.0088,,1609372800,0.88585997,1129200000,3.911,0.51,0.18703341,7.9578424,0.00465,1672444800,,1632960000,2.82,2021-12-15,254477500,1.010643,59749777408,2,,2003-06-09,2:1,,2021-12-13,,0.318,,1642118400,2.33,,34.69189,1,,0.0101,2691688,,,
EIX,,3.744,,0.05173,10.339,0.046495795,,4.59,,379908000,-,,,35.816,4376070,0.0115,,1609372800,0.89653,762000000,2.007,0.7,0.18703341,1.7314886,0.00115,1672444800,,1632960000,2.1,2021-12-15,379505553,0.688291,55158439936,2,,1993-06-22,2:1,,2021-12-30,,,,1642118400,2.42,,13.510893,1,,0.014099999,6300352,379283008,,
EW,,12.876,,0.28726,39.114,0.2922728,,2.91,,624334016,-,,,9.351,5416169,0.0087,,1640908800,0.85756,1503100032,2.38,,0.18703341,12.005027,0.0073900004,1703980800,,1640908800,2.43,2021-12-15,618901247,1.093258,67375218688,2,,2020-06-01,3:1,,-,,0.083,,1642118400,2.72,,38.576977,1,,0.0087,5526140,,,
EA,,5.901,,0.122729994,26.578,-0.077261746,,7.46,,282808000,-,,,27.695,3636037,0.0128999995,,1617148800,0.94966006,785000000,2.715,0.17,0.18703341,4.894024,0.0051599997,1680220800,,1632960000,1.83,2021-12-15,267098151,0.8667,37740326912,2,,2003-11-18,2:1,,2021-12-07,,0.589,,1642118400,0.85,,18.1689,1,,0.0128999995,4179753,,,
EMR,,3.269,,0.12629,15.315,0.1051625,,5.33,,595699008,-,,,16.588,6905960,0.0116,,1632960000,0.75628996,2303000064,3.82,0.515,0.18703341,5.8524237,0.0076,1696032000,,1632960000,2.55,2021-12-15,590021820,1.514445,59620052992,2,,2006-12-12,2:1,,2021-11-10,,-0.073,,1642118400,1.76,,18.213884,1,,0.0117,5014229,,,
ENPH,,15.311,,0.13438,71.352,-0.27335232,,2.99,,134912000,-,,,4.804,3901199,0.028900001,,1609372800,0.73879,165848992,1.152,,0.18703341,29.21732,0.022909999,1672444800,,1632960000,1.56,2021-12-15,132115713,1.183983,18896871424,2,,-,,,-,,-0.446,,1642118400,2.15,,46.943146,1,,0.0337,4409068,,,
ETR,,4.156,,0.10953,11.622,0.15934241,,6.34,,200980992,-,,,55.99,3401616,0.016900001,,1609372800,0.90724,1247561984,6.179,1.01,0.18703341,1.995892,0.0033000002,1672444800,,1632960000,3.4,2021-12-15,200123108,0.628991,47341379584,2,,-,,,2021-11-12,,0.019,,1642118400,3.07,,17.626183,1,,0.019199999,3588256,,,
EOG,,3.96,,0.18018,8.344,1.0254116,,10.44,,585089984,-,,,37.206,6220468,0.0106,,1609372800,0.87811995,3016428032,5.187,0.75,0.18703341,3.0133579,0.00373,1672444800,,1632960000,1.54,2021-12-15,583048017,1.999493,66299830272,2,,2014-04-01,2:1,,2022-01-13,,,,1642118400,0.18,,10.738985,1,,0.0121,4824335,,,
EPAM,,7.834,,0.12593001,46.645,0.29931867,,11.16,,56719600,-,,,41.248,580082,0.010199999,,1609372800,0.95362,424912000,7.211,,0.18703341,11.645291,0.03334,1672444800,,1632960000,1.06,2021-12-15,54958417,1.439432,26431825920,2,,-,,,-,,0.293,,1642118400,1.94,,43.041668,1,,0.0124,1578536,,,
EFX,,6.83,,0.14543,21.374,0.35477376,,8.78,,122002000,-,,,29.01,1734366,0.014199999,,1609372800,0.93281,696499968,5.654,0.39,0.18703341,8.407446,0.0040700003,1672444800,,1632960000,2.35,2021-12-15,121634294,1.430309,32711483392,2,,1995-12-18,2:1,,2021-11-23,,-0.101,,1642118400,2.34,,27.779043,1,,0.016,1851951,,,
EQIX,,12.067,,0.0654,28.452,-0.05245799,,7.68,,90041200,-,,,117.377,1231692,0.0137,,1609372800,0.97866,427911008,4.743,2.87,0.18703341,6.1318655,0.0035899999,1672444800,,1632960000,3.15,2021-12-15,89668429,0.358844,78953316352,2,,2002-12-31,1:32,,2021-11-16,,1.283,,1642118400,3.54,,93.71615,1,,0.015700001,1375294,,,
